Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
47	18.432524	2.2804759	22.464933	12.792296	177.70833	93.52873	486.0	26.0	1000.0	251899.0	0.1749298611111111	1.833103	0.47603598	2.8556576	0.0036827354	18.243355	12.392194	75.34954	-5.571312	-1.1175871e-08	-0.011591241	5.9604645e-08	0.013992764	0.11189671	-0.049753226	212.98456	-130.26303	0	0	1.6906503	0.0	1.1671691	0.009701271	1440000	3260.6003818511963
48	17.028597	3.8151135	22.72955	2.8955553	187.625	116.44807	482.0	16.0	1000.0	257507.0	0.17517482993197278	1.826652	0.49742633	2.8297243	0.0983447	19.12558	12.969811	76.55881	-8.184066	6.519258e-09	-0.011276125	-2.9802322e-08	0.0012830794	0.13156246	-0.06699844	197.84479	-121.152695	0	0	1.7705809	0.0	1.1527281	0.009669474	1470000	3329.336940765381
49	18.165953	3.163484	23.531435	7.8820486	189.75	101.01372	368.0	0.0	1000.0	263004.0	0.175336	1.8167255	0.48346666	2.8484874	0.025066014	18.414938	14.060731	81.979904	-20.383904	7.450581e-09	-0.011516936	-5.9604645e-08	-0.0076323543	0.12356098	-0.062467013	199.07109	-116.12094	0	0	1.7334471	0.0	1.1444986	0.009710921	1500000	3397.4184803962708
50	18.275682	3.8503067	22.768583	3.998085	171.25	109.85493	471.0	14.0	1000.0	268032.0	0.1751843137254902	1.8775896	0.5212196	2.9572172	-0.27520204	19.61519	13.157174	75.09819	-8.678163	-7.450581e-09	-0.012388812	-1.4901161e-08	-0.012518385	0.15330929	-0.07813561	212.77577	-122.986084	0	0	1.5858861	0.0	1.1317862	0.009665073	1530000	3466.101958990097
51	18.205145	3.7022302	23.215553	4.7552624	182.83333	97.909256	435.0	13.0	1000.0	273711.0	0.17545576923076922	1.8836062	0.5270671	3.2073348	-0.551009	18.082338	13.543087	85.1887	-12.783842	3.7252903e-09	-0.011937136	-9.685755e-08	0.0014297403	0.17866838	-0.09575887	210.5441	-123.34172	0	0	1.6825324	0.0	1.1148248	0.009942291	1560000	3534.3117876052856
52	17.631796	2.874572	21.351263	8.969473	196.29167	88.410255	461.0	49.0	1000.0	279898.0	0.1760364779874214	1.8010429	0.56225044	3.1281385	-0.21914984	18.992159	11.698847	73.99569	-9.615732	2.142042e-08	-0.011990311	-3.7252903e-08	0.0072304513	0.16198537	-0.09721958	238.57664	-143.81763	0	0	1.6588223	0.0	1.1085362	0.009803502	1590000	3602.5707218647003
53	18.240852	2.5952134	25.512522	13.86666	193.875	99.35178	471.0	50.0	1000.0	286126.0	0.176620987654321	1.8044329	0.5187696	2.8207934	0.14110374	22.266241	13.454199	83.4907	-5.1064024	-3.7252903e-09	-0.012606596	4.4703484e-08	0.009069148	0.13136794	-0.07237947	224.2329	-137.59747	0	0	1.6195698	0.0	1.1046839	0.009837842	1620000	3671.2744946479797
54	18.12803	2.2746484	21.287718	12.007588	147.58333	86.3148	330.0	14.0	1000.0	291039.0	0.17638727272727273	1.8554982	0.5033168	2.839948	-0.032113656	19.538788	12.532971	78.57694	-5.4183226	-2.3283064e-09	-0.011965948	2.9802322e-08	0.004607144	0.115033165	-0.06194724	187.60458	-115.02959	0	0	1.6680002	0.0	1.1094098	0.009630994	1650000	3739.3867728710175
55	19.454653	1.8793964	25.984564	17.22909	221.16667	102.349754	431.0	0.0	1000.0	297419.0	0.17703511904761904	1.9046172	0.4475462	3.0517845	0.30846277	19.79771	14.005719	87.204926	-8.96539	1.8626451e-09	-0.012048645	0.0	0.0004527392	0.11723961	-0.06640962	192.76575	-116.42881	0	0	1.6811332	0.0	1.1083913	0.009713944	1680000	3807.4669272899628
56	19.515982	2.6272597	24.037613	13.968784	168.45833	95.039894	377.0	44.0	1000.0	302756.0	0.17705029239766082	1.9416764	0.4371799	2.9611473	0.43102038	18.810413	13.292105	81.20938	-7.2110453	6.519258e-09	-0.012139356	-7.4505806e-08	0.009644783	0.1371716	-0.07004596	191.14986	-116.03639	0	0	1.6306885	0.0	1.1119697	0.009734206	1710000	3875.6492891311646
